objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,Collection ,publisher-digital,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
William-Lyon-Mackenzie-Grave-1983,William-Lyon-Mackenzie-Grave-1983.jpg,,"Rt. Hon. William Lyon MacKenzie King, 1874 - 1950 Mount Pleasant Cemetery, Toronto, Ontario",image/jpg,"The grave of Canada's tenth Prime Minister, William Lyon Mackenzie King. He was the Prime Minister of Canada from 1921-1930 and again from 1935-1948. He is currently the only Prime Minister buried in  Mount Pleasant Cemetery ","Stuparyk, Michael ",,1983,yes,photographs,Notable People ,"Toronto, Ontario ",,,Toronto Star Photograph Archive,Toronto Public Library: Digital Archive ,,TSPA_0060020F,,In Copyright ,https://www.torontopubliclibrary.ca/digital-archive/license.jsp ,Image;StillImage,eng,
William-Lyon-Mackenzie-King-Newspaper-article-on-Burial,William-Lyon-Mackenzie-King-Newspaper-article-on-Burial.pdf,,Vast Throng Mourns Mr. King ,application/pdf,"The front page publication of the Toronto Star on July, 27 1950. Front page announces the death and burial of Prime Minister William Lyon Mackenzie King ",Toronto Daily Star,,1950,,Newspaper ,Notable People ,"Toronto, Ontario ",,,Toronto Star Newspaper Archive ,ProQuest Historical Newspapers ,,1416027169,,In Copyright ,,Image;StillImage,eng,
CrematoriumPark2,CrematoriumPark2.jpg,,Garden of Remebrance ,image/jpg,Photograph of the Garden of Remebrance ,A.R. English ,,2011,,photographs,Green Space; Nature,"Toronto, Ontario ",,,,,,,,,,Image;StillImage,eng,
Alexander-Muir,Alexander-Muir.jpg,,"When he was seven James Joseph Muir's father, Alexander Muir, wrote Canada's national song",image/jpg,"Photograph orginate's from a Toronto Star publication that shows James Muir, the son of Alexander Muir, who wrote Canada's national song ""The Maple Leaf Forever"". ",Unknown,,1940,,photographs,Notable People ,"Toronto, Ontario ",,,Toronto Star Photograph Archive,Toronto Public Library: Digital Archive ,,TSPA_0069854F,,Public Domain ,https://www.torontopubliclibrary.ca/digital-archive/license.jsp ,Image;StillImage,eng,
OPENING_OF_MOUNT_PLEASANT_CEME.,OPENING_OF_MOUNT_PLEASANT_CEME.pdf,,OPENING OF MOUNT PLEASANT CEMETERY: A QUIET RESTING PLACE FOR THE PEOPLE'S DEAD THE TRUSTEES REPORT,application/pdf,"A publication of ""The Globe"" that announces the grand opening of Mount Pleasant Cemetery. It highlights the notable aspects of the cemetery, the history that led to the opening of Mount Pleasant Cemetery by the General Burying Ground Trust (Mount Pleasant Group) and the financing of it. ",The Globe,,1876,,Newspaper ,History; Greenspace ,"Toronto, Ontario ",,,The Globe and Mail Archive ,ProQuest Historical Newspapers ,,1523975819,,In Copyright ,,Image;StillImage,eng,
Children-Memorial-Graden,Children-Memorial-Graden.jpg,,The Children's Memorial Graden ,image/jpg,"The Garden initially started off as an unofficial monument by Mary Smith who's baby was was buried in a unmarked grave in a remote section of the cemetery, reserved for stillborn and children without parents.The site became dedicated in 1992 and features numerous native plants. ",Jacob Da Silva ,,2024,,photographs,Nature; Greenspace ,"Toronto, Ontario ",43.69594,-79.37701,,,,,,,,Image;StillImage,eng,
Plaque-of-Children-Memorial-Graden,Plaque-of-Children-Memorial-Graden.jpg,,The Plaque within the Children's Memorial Graden ,image/jpg,"Transcript: This Children's Garden is an end point in the essential grieving process of a parent for the lost of her child - a process that had gone on for twenty-five years. Out of this grieving process has come my victory over death, a richer appreciation and love of life. In struggling with this process, I realized that i needed to place something by our son's grave to assert my presence and caring. Every parent knows the joy of watching their children grow and blossom continuously before their eyes. For this reason it is important to place something which adequately represents this wonderous process. So, a Serviceberry was planted in memory of our son. Out of that, I realized that the recognition of the dignity of life was central to the grieving process and with the help of friends, I decided to create a Children's Garden as a memorial to all the children buried there. Most plants were selected to represent our seasons, and would create a garden that, like children, will always be growing and changing. Several plants were chosen because they provide food for birds, representative of the fact that all living things are interdependent and have a place. Mary Elizabeth Smith ",Jacob Da Silva ,,2024,,photographs,Nature; Greenspace; History ,"Toronto, Ontario ",43.69594,-79.37701,,,,,,,,Image;StillImage,eng,
Grave-of-Vari,Grave-of-Vari.jpg,,"The Grave of George William Vari and his wife, Helen Vari",image/jpg,"George William Vari was a Canadian realt estate developer and philanthropist. He is well known for his philanthropy within educational institutions, with Vari Hall at York University being named after him for his contributions to the university.",Jacob Da Silva ,,2024,,photographs,Notable People ,"Toronto, Ontario ",,,,,,,,,,Image;StillImage,eng,
Grave-of-Banting,Grave-of-Banting.jpg,,The Grave of Fredrick Grant Banting ,image/jpg ,"Frederick Grant Banting was Canadian pharmacologist, orthopedist, and field surgeon. He is well known in Canadian history as being one of the co-discoverers of Insulin at the University of Toronto in 1921.   ",Adrienne,,2024,,photographs,Notable People ,"Toronto, Ontario ",,,,,,,,,,Image;StillImage,eng,
Culture-within-cemetery,Culture-within-cemetery.jpg,,Cultures represented through Monuments,image/jpg,"This grave stone hightlights asian representation and culture within the cemetery and like many other monuments, highlights the diverse cultures and ethnic groups that can be found within the cemetery. This in part is historically significant as it hightlights the various people that have made up the city of Toronto and who would go onto have their final resting place in Mount Pleasant Cemetery ",Jacob Da Silva ,,2024,,photographs,Nature; Greenspace,"Toronto, Ontario ",,,,,,,,,,Image;StillImage,eng,
Biking-Restrictions,Biking-Restrictions.jpg,,The Struggles in balancing Cemetery and Greenspace ,image/jpg,"This sign here represents the particular situation that Mount Pleasant Cemetery must contest with as they have to balance their usage as a Greenspace for the people of Toronto, and a final resting place for the dead. ",Adrienne,,2024,,photographs,Greenspace,"Toronto, Ontario ",,,,,,,,,,Image;StillImage,eng,
Trees-as-monuments,Trees-as-monuments.jpg,,Trees as Monuments to the Dead and Nature ,image/jpg,"The photograph depicts the mentioned memorialized trees that can be found within some sections of the cemetery. This tree was planted were a person was buried, acting as a natural monument to the dead, with a small marker being placed to inform visitors who was buried their. ",Jacob Da Silva ,,2024,,photographs,Greenspace;Nature ,"Toronto, Ontario ",,,,,,,,,,Image;StillImage,eng,
Forest-Of-Remembrance,,ETWnBbl9Pmk,Video of the Forest of Remembrance ,video/mpeg,A non-narrative visual tour of the Forest of Remembrance ,Sid ,,2024,,video,Greenspace; Nature,"Toronto, Ontario ",,,,,,,,,,Image;MovingImage,eng,
Transcript-of-Interview,Transcript-of-Interview.pdf,,"Transcript of the Interview with Daniel Chevalier, Mount Pleasant Cemetery's Arborist ",application/pdf,,Sid ,,2024,,transcript,,,,,,,,,,,,Image;StillImage,eng,
Henry,Henry.jpg ,,Grave of H.A. (Henry) Englehardt ,image/jpg,,Greg's Souther Ontario ,,2013,,photographs,Notable People ,"Toronto, Ontario ",,,,,,,,In Copyright ,,Image;StillImage,eng,
Heritage-Plaque,Heritage-Plaque.jpg,,The Ontario Heritage Foundation historical plaque of Mount Pleasant Cemetery ,image/jpg,,Greg's Souther Ontario ,,2013,,photographs,History ,"Toronto, Ontario ",,,,,,,,In Copyright ,,Image;StillImage,eng,
podcast,Walking-Among-the-Dead.mp3,,Walking Among the Dead Podcast- Mount Pleasant Cemetery ,audio/mp3,,"Sid, Jacob and Adrienne ",,2024,,audio,Greenspace; History ,,,,,,,,,,,audio,eng ,
